"Kod"	"Överordnad kod"	"Titel"	"Alternativ titel"	"Beskrivning"	"Innefattar"	"Utesluter"	"Anmärkning"	"Bedömningsfaktor"
"b1140"	"b114"	"Funktioner för orientering till tid"	"Orientering till tid"	"Psykiska funktioner som ger medvetenhet om tid på dagen, veckodag, datum, månad och år"	""	""	""	""
"b1141"	"b114"	"Funktioner för orientering till rum"	"Orientering till rum"	"Psykiska funktioner som ger medvetenhet om var man befinner sig, såsom stad, land och den omedelbara omgivningen"	""	""	""	""
"b1142"	"b114"	"Funktioner för orientering till person"	"Orientering till person"	"Psykisk funktion som ger medvetenhet om den egna identiteten och om personer i den omedelbara omgivningen"	""	""	""	""
"b11420"	"b1142"	"Orientering till jaget"	""	"Psykiska funktioner som ger medvetenhet om den egna identiteten"	""	""	""	""
"b11421"	"b1142"	"Orientering till andra"	""	"Psykisk funktion som ger medvetenhet om identiteten hos andra personer i den omedelbara omgivningen"	""	""	""	""
"b11428"	"b1142"	"Funktioner för orientering till person, andra specificerade"	""	""	""	""	""	""
"b11429"	"b1142"	"Funktioner för orientering till person, ospecificerade"	""	""	""	""	""	""
"b1143"	"b114"	"Funktioner för orientering till föremål"	"Orientering till föremål"	"Psykiska funktioner som ger medvetenhet om föremål eller kännetecken hos föremål"	""	""	""	""
"b1144"	"b114"	"Funktioner för orientering till närmaste omgivning"	"Orientering till närmaste omgivning"	"Psykiska funktioner som ger medvetenhet om den egna kroppen i relation till det närmaste fysiska rummet"	""	""	""	""
"b1148"	"b114"	"Andra specificerade orienteringsfunktioner"	""	""	""	""	""	""
"b1149"	"b114"	"Ospecificerade orienteringsfunktioner"	""	""	""	""	""	""
"b117"	"b110-b139"	"Intellektuella funktioner"	""	"Allmänna psykiska funktioner som krävs för att förstå och konstruktivt integrera olika psykiska funktioner inklusive kognitiva funktioner och deras utveckling över livscykeln"	"den intellektuella utvecklingens funktioner"	"minnesfunktioner (b144); tankefunktioner (b160); högre kognitiva funktioner (b164)"	"funktionsnedsättningar som vid intellektuell utvecklingshämning eller demens"	""
"b122"	"b110-b139"	"Övergripande psykosociala funktioner"	""	"Allmänna psykiska funktioner och deras utveckling över livscykeln som krävs för att förstå och på ett konstruktivt sätt integrera de olika psykiska funktioner som utgör grund för uppbyggnad av mellanmänsklig förmåga som är nödvändig för att upprätta meningsfulla ömsesidiga sociala interaktioner"	""	""	"funktionsnedsättningar som vid autismspektrumsyndrom"	""
"b126"	"b110-b139"	"Temperament och personlighetsfunktioner"	"Temperament och personlighet"	"Allmänna psykiska funktioner i en persons konstitutionella disposition att reagera på ett särskilt sätt i situationer och som innefattar den uppsättning av psykiska egenskaper som gör att personen klart skiljer sig från andra"	"utåtvändhet, inåtvändhet, behaglighet, samvetsgrannhet, psykisk och emotionell stabilitet och öppenhet för upplevelser; optimism; att söka nyheter; självförtroende; trovärdighet"	"intellektuella funktioner (b117); energi och driftfunktioner (b130); psykomotoriska funktioner (b147); emotionella funktioner (b152)"	""	""
"b1260"	"b126"	"Extroversion (utåtvändhet)"	""	"Psykiska funktioner som ger personlig disposition att vara utåtriktad, social och öppen i motsats till att vara blyg, återhållen och hämmad"	""	""	""	""
"b1261"	"b126"	"Behaglighet"	""	"Psykiska funktioner som ger personlig disposition att vara samarbetsvillig, vänlig och tillmötesgående i motsats till att vara ovänlig, oppositionell och trotsig"	""	""	""	""
"b1262"	"b126"	"Samvetsgrannhet"	""	"Psykiska funktioner som ger personliga dispositioner att vara hårt arbetande, metodisk och noggrann i motsats till psykiska funktioner som ger dispositioner att vara lat, opålitlig och oansvarig"	""	""	""	""
"b1263"	"b126"	"Psykisk stabilitet"	""	"Psykiska funktioner som ger personlig disposition att vara jämn till humöret, lugn och samlad i motsats till att vara lättirriterad, orolig, oberäknelig och nyckfull"	""	""	""	""
"b1264"	"b126"	"Öppenhet för upplevelser"	""	"Psykiska funktioner som ger personlig disposition att vara nyfiken, fantasifull, frågvis och sökande efter erfarenhet i motsats till att vara slö, ouppmärksam och ha svårt att visa känslor"	""	""	""	""
"b1265"	"b126"	"Optimism"	""	"Psykiska funktioner som ger personlig disposition att vara gladlynt, livlig och hoppfull i motsats till att vara nedstämd, dyster och misströstande"	""	""	""	""
"b1266"	"b126"	"Självförtroende"	""	"Psykiska funktioner som ger personlig disposition att vara självsäker, djärv och säker i motsats till att vara blyg, osäker och självutplånande"	""	""	""	""
"b1267"	"b126"	"Pålitlighet"	""	"Psykiska funktioner som ger personlig disposition att vara etisk och principfast i motsats till att vara utmanande, svekfull och asocial"	""	""	""	""
"b1268"	"b126"	"Temperament och personlighetsfunktioner, andra specificerade"	""	""	""	""	""	""
"b1269"	"b126"	"Temperament och personlighetsfunktioner, ospecificerade"	""	""	""	""	""	""
"b130"	"b110-b139"	"Energi och driftfunktioner"	"Energinivå, motivation, aptit, impulskontroll"	"Allmänna psykiska funktioner av fysiologiska och psykologiska mekanismer som gör att personen envist strävar efter att tillfredsställa specifika behov och allmänna mål"	"funktioner för energinivå, motivation, aptit, impulskontroll"	"medvetande och vakenhetsfunktioner (b110); temperament och personlighetsfunktioner (b126); sömnfunktioner (b134); psykomotoriska funktioner (b147); emotionella funktioner (b152)"	"funktionsnedsättningar vilka yttrar sig som begär efter substanser, inklusive sådana som kan missbrukas"	""
"b1300"	"b130"	"Funktioner för energinivå"	"Energinivå"	"Psykisk funktion som ger kraft och uthållighet"	""	""	""	""
"b1301"	"b130"	"Funktioner för motivation"	"Motivation"	"Psykiska funktioner som skapar handlingsberedskap, medveten eller omedveten drivkraft att handla"	""	""	""	""
"b1302"	"b130"	"Funktioner för aptit"	"Aptit"	"Psykiska funktioner som ger en naturlig längtan eller önskan om att tillgodose särskilt det naturliga och återkommande behovet av mat och dryck"	""	""	""	""
"b1304"	"b130"	"Funktioner för impulskontroll"	"Impulskontroll"	"Psykiska funktioner som reglerar och motverkar plötsliga starka begär att göra någonting"	""	""	""	""
"b1308"	"b130"	"Energi och driftfunktioner, andra specificerade"	""	""	""	""	""	""
"b1309"	"b130"	"Energi och driftfunktioner, ospecificerade"	""	""	""	""	""	""
"b134"	"b110-b139"	"Sömnfunktioner"	"Sömn"	"Allmänna psykiska funktioner av periodisk, reversibel och selektiv fysisk och psykisk avkoppling från sin egen omedelbara omgivning med samtidiga karakteristiska fysiologiska förändringar"	"funktioner för sömnmängd, insomning, sömnunderhåll, sömnkvalitet, funktioner som rör sömncykeln"	"medvetande och vakenhetsfunktioner (b110 ); energi och driftfunktioner (b130); uppmärksamhetsfunktioner (b140); psykomotoriska funktioner (b147)"	"funktionsnedsättningar som vid sömnlöshet eller sjukligt sömnbehov (t.ex. hypersomni och narkolepsi)"	""
"b1340"	"b134"	"Funktioner för sömnmängd"	"Sömnmängd"	"Psykiska funktioner som gäller tid som används för att sova enligt en återkommande dygnsrytm"	""	""	""	""
"b1341"	"b134"	"Funktioner för insomning"	"Insomning"	"Psykiska funktioner som styr övergången från vakenhet till sömn"	""	""	""	""
"b1342"	"b134"	"Funktioner för sömnunderhåll"	"Sömnunderhåll"	"Psykiska funktioner som upprätthåller sömntillståndet"	""	""	""	""
"b1343"	"b134"	"Funktioner för sömnkvalitet"	"Sömnkvalitet"	"Psykiska funktioner som ger naturlig sömn som leder till optimal fysisk och psykisk vila och avslappning"	""	""	""	""
"b1344"	"b134"	"Funktioner som omfattar sömncykeln"	"Sömncykel"	"Psykiska funktioner som ger sömn med hastiga ögonrörelser (REM, som sammanhänger med att drömma) och sömn som inte är förknippad med hastiga ögonrörelser (NREM, som kännetecknas av traditionella begrepp för sömn som en tid av minskad fysiologisk och psykologisk aktivitet)"	""	""	""	""
"b1348"	"b134"	"Andra specificerade sömnfunktioner"	""	""	""	""	""	""
"b1349"	"b134"	"Ospecificerade sömnfunktioner"	""	""	""	""	""	""
"b139"	"b110-b139"	"Andra specificerade och ospecificerade övergripande psykiska funktioner"	""	""	""	""	""	""
"b140"	"b140-b189"	"Uppmärksamhetsfunktioner"	"Uppmärksamhet"	"Särskilda psykiska funktioner att under en erforderlig tidsperiod rikta in sig mot ett yttre stimulus eller inre erfarenhet"	"funktioner för att vidmakthålla uppmärksamhet, att skifta uppmärksamhet, att fördela uppmärksamhet, dela gemensam uppmärksamhet; koncentration"	"medvetande och vakenhetsfunktioner (b110); energi och driftfunktioner (b130); sömnfunktioner (b134), minnesfunktioner (b144); psykomotoriska funktioner (b147); perceptuella funktioner (b156)"	"funktionsnedsättningar vilka yttrar sig som distraherbarhet"	""
"b140-b189"	"b1"	"Specifika psykiska funktioner"	""	""	""	""	""	""
"b1400"	"b140"	"Funktioner för att vidmakthålla uppmärksamhet"	"Vidmakthålla uppmärksamhet"	"Psykiska funktioner som ger koncentration under den tidsperiod som krävs"	""	""	""	""
"b1401"	"b140"	"Funktioner för att skifta uppmärksamhet"	"Skifta uppmärksamhet"	"Psykiska funktioner som tillåter koncentrationsförflyttning från ett stimulus till ett annat"	""	""	""	""
"b1402"	"b140"	"Funktioner för delad uppmärksamhet"	"Delad uppmärksamhet"	"Psykiska funktioner som tillåter inriktning på två eller flera stimuli samtidigt"	""	""	""	""
"b1403"	"b140"	"Funktioner för gemensam uppmärksamhet"	"Gemensam uppmärksamhet"	"Psykiska funktioner som tillåter inriktning på samma stimulus som någon eller några andra personer, som t.ex. ett barn och en vårdnadsgivare som riktar uppmärksamheten på en leksak"	""	""	""	""
"b1408"	"b140"	"Andra specificerade uppmärksamhetsfunktioner"	""	""	""	""	""	""
"b1409"	"b140"	"Ospecificerade uppmärksamhetsfunktioner"	""	""	""	""	""	""
"b144"	"b140-b189"	"Minnesfunktioner"	"Minne"	"Specifika psykiska funktioner som registrerar och lagrar information och återkallar den vid behov"	"funktioner för kort- och långtidsminne, omedelbart, nyligt och avlägset minne; minnesomfång; att dra sig till minnes; att erinra sig; funktioner som används för att komma ihåg och att lära in"	"medvetande och vakenhetsfunktioner (b110); orienteringsfunktioner (b114); intellektuella funktioner (b117); uppmärksamhetsfunktioner (b140); perceptuella funktioner (b156); tankefunktioner (b160); högre kognitiva funktioner (b164); psykiska språkfunktioner (b167); kalkyleringsfunktioner (b172)"	"funktionsnedsättningar vilka yttrar sig som allmän, selektiv och dissociativ minnesförlust"	""
"b1440"	"b144"	"Funktioner för korttidsminne"	"Korttidsminne"	"Psykiska funktioner som ger ett temporärt och upplösbart minne på omkring trettio sekunders varaktighet från vilken information förloras om den inte befästes i långtidsminne"	""	""	""	""
"b1441"	"b144"	"Funktioner för långtidsminne"	"Långtidsminne"	"Psykiska funktioner som ger ett minnessystem som tillåter långtidslagring av information från korttidsminnet och såväl autobiografiskt minne för tidigare händelser som semantiskt minne av språk och fakta"	""	""	""	""
"b1442"	"b144"	"Funktioner för återkallande och bearbetning av minne"	"Återkalla och bearbeta minne"	"Specifik psykisk funktion att komma ihåg information som är lagrad i långtidsminnet och föra det till medvetenhet"	""	""	""	""
"b1443"	"b144"	"Funktioner för arbetsminne"	"Arbetsminne"	"Psykiska funktioner som jämför och bearbetar information som hämtas från både kort- och långtidsminne"	""	""	""	""
"b1448"	"b144"	"Andra specificerade minnesfunktioner"	""	""	""	""	""	""
"b1449"	"b144"	"Ospecificerade minnesfunktioner"	""	""	""	""	""	""
"b147"	"b140-b189"	"Psykomotoriska funktioner"	"Psykomotorik"	"Specifika psykiska funktioner för kontroll över motoriska och psykologiska händelser på kroppsnivå"	"funktioner för psykomotorisk kontroll, psykomotoriska funktioners kvalitet"	"medvetande och vakenhetsfunktioner (b110); orienteringsfunktioner (b114); intellektuella funktioner (b117); energi och driftfunktioner (b130); uppmärksamhetsfunktioner (b140); psykiska språkfunktioner (b167); psykiska funktioner att ordna sammansatta rörelser i följd (b176); funktioner för kontroll av viljemässiga rörelser (b760)"	"funktionsnedsättningar vilka yttrar sig som psykomotorisk långsamhet, överretning och motorisk oro, avvikande kroppshållning, stereotypier, motorisk perseveration, katatoni, negativism, ambitendens, ekopraxi och ekolali"	""
"b1470"	"b147"	"Funktioner för psykomotorisk kontroll"	"Psykomotorisk kontroll"	"Psykiska funktioner som reglerar hastigheten i beteende eller responstid som innefattar såväl motoriska som psykologiska komponenter"	""	""	"funktionsnedsättningar vilka yttrar sig som störning av kontroll som ger psykomotorisk långsamhet (att röra sig och tala långsamt; minskning av gestikulerande och spontanitet) eller psykomotorisk överretning (överdriven beteendemässig och kognitiv aktivitet, vanligen icke-produktiv och ofta som svar på inre spänning som t.ex. vicka med fötterna, vrida händerna, agitation eller rastlöshet)"	""
"b1471"	"b147"	"Funktioner för psykomotoriska funktioners kvalitet"	"Psykomotorisk kvalitet"	"Psykiska funktioner som ger icke-verbalt beteende i rätt följd och karaktär vad avser delkomponenter, såsom öga-hand-koordination och gångkoordination"	""	""	""	""
"b1478"	"b147"	"Andra specificerade psykomotoriska funktioner"	""	""	""	""	""	""
"b1479"	"b147"	"Ospecificerade psykomotoriska funktioner"	""	""	""	""	""	""
"b152"	"b140-b189"	"Emotionella funktioner"	"Emotioner"	"Specifika psykiska funktioner som hänför sig till känslo- och affektkomponenterna i tankeprocesserna"	"funktioner för emotionens lämplighet, reglering och omfattning; affekt; sorgsenhet, lycka, kärlek, rädsla, ilska, hat, spänning, ångest, glädje, sorg"	"temperament och personlighetsfunktioner (b126); energi och driftfunktioner (b130)"	"funktionsnedsättningar vilka yttrar sig som emotionslabilitet; utslätning av affekt"	""
"b1520"	"b152"	"Funktioner för lämplighet i emotion"	"Lämplighet i emotion"	"Psykiska funktioner som ger kongruens mellan känsla eller affekt och situationen såsom t.ex. lycka när man mottar goda nyheter"	""	""	""	""
"b1521"	"b152"	"Funktioner för reglering av emotion"	"Reglering av emotion"	"Psykiska funktioner som kontrollerar upplevelse och uppvisande av affekt"	""	""	""	""
"b1522"	"b152"	"Funktioner för omfattning av emotion"	"Omfattning av emotion"	"Psykiska funktioner som leder till ett upplevelsespektrum vid uppväckande av affekt eller känslor såsom t.ex. kärlek, hat, oro, sorg, glädje, fruktan och vrede"	""	""	""	""
"b1528"	"b152"	"Andra specificerade emotionella funktioner"	""	""	""	""	""	""
"b1528B"	"b1528"	"Känsla av ofrivillig ensamhet"	""	"Emotionella funktioner som utifrån situation leder till känsla/upplevelse av ofrivillig ensamhet"	""	""	""	""
"b1528C"	"b1528"	"Känsla av otrygghet"	""	"Emotionella funktioner som utifrån situation leder till känsla/upplevelse av otrygghet"	""	""	""	""
"b1529"	"b152"	"Ospecificerade emotionella funktioner"	""	""	""	""	""	""
"b156"	"b140-b189"	"Perceptuella funktioner"	"Perception"	"Specifika psykiska funktioner för att känna igen och tolka sinnesstimuli"	"funktioner för auditiv och visuell perception, lukt, smak samt taktil och visuospatial perception"	"medvetande och vakenhetsfunktioner (b110); orienteringsfunktioner (b114); uppmärksamhetsfunktioner (b140); minnesfunktioner (b144); psykiska språkfunktioner (b167); syn och därmed sammanhängande funktioner (b210-b229), hörsel och vestibulära funktioner (b230-b249); andra sinnesfunktioner (b250-b279)"	"funktionsnedsättningar vilka yttrar sig som hallucinering eller illusion"	""
"b1560"	"b156"	"Funktioner för auditiv perception"	"Auditiv perception"	"Psykiska funktioner som ingår i att urskilja ljud, toner, tonhöjder och andra akustiska stimuli"	""	""	""	""
"b1561"	"b156"	"Funktioner för visuell perception"	"Visuell perception"	"Psykiska funktioner som ingår i att urskilja form, storlek, färg och andra synliga intryck"	""	""	""	""
"b1562"	"b156"	"Funktioner för luktperception"	"Luktperception"	"Psykiska funktioner som ingår i att urskilja skillnader i dofter"	""	""	""	""
"b1563"	"b156"	"Funktioner för smakperception"	"Smakperception"	"Psykiska funktioner som ingår i att med tungan urskilja skillnad i smak, såsom sött, surt, salt och beskt"	""	""	""	""
"b1564"	"b156"	"Funktioner för taktil perception"	"Taktil perception"	"Psykiska funktioner som ingår i att genom beröring urskilja skillnader i textur, såsom t.ex. strävt eller lent"	""	""	""	""
"b1565"	"b156"	"Funktioner för visuospatial perception"	"Visuospatial perception"	"Psykiska funktioner involverade i att med synen urskilja föremåls relativa position i omgivningen eller i relation till sig själv"	""	"funktioner för orientering till föremål (b1143)"	""	""
"b1568"	"b156"	"Andra specificerade perceptuella funktioner"	""	""	""	""	""	""
"b1569"	"b156"	"Ospecificerade perceptuella funktioner"	""	""	""	""	""	""
"b160"	"b140-b189"	"Tankefunktioner"	""	"Specifika psykiska funktioner som sammanhänger med förmågan att skapa tankemässiga representationer"	"funktioner för tempo, form, kontroll och innehåll i tanke; målinriktade tankefunktioner, icke-målinriktade tankefunktioner; logiska tankefunktioner"	"intellektuella funktioner (b117); minnesfunktioner (b144); psykomotoriska funktioner (b147); perceptuella funktioner (b156); högre kognitiva funktioner (b164); psykiska språkfunktioner (b167); kalkyleringsfunktioner (b172)"	"funktionsnedsättningar vilka yttrar sig som tanketryck, idéflykt, tankeblockering, osammanhängande tankar, ovidkommande tankar, omständlighet, vanföreställningar och tvångstankar, tvångsföreställningar, idémässig perseveration, övervärderade idéer, somatisering, grubbleri, tankespridning och tanketillägg"	""
"b1600"	"b160"	"Funktioner för tanketempo"	"Tanketempo"	"Psykiska funktioner som reglerar hastighet i tankeprocessen"	""	""	""	""
"b1601"	"b160"	"Funktioner för tankeform"	"Tankeform"	"Psykiska funktioner vad avser organisation av tankeprocessen och dess sammanhang och logik"	""	""	"funktionsnedsättningar vilka yttrar sig som idémässig perseveration, ovidkommande tankar och omständlighet"	""
"b1602"	"b160"	"Funktioner för tankeinnehåll"	"Tankeinnehåll"	"Psykiska funktioner som består av idéer i tankeprocessen och det som man gör sig en föreställning om"	""	""	"funktionsnedsättningar vilka yttrar sig som vanföreställningar, övervärderade idéer och somatisering"	""
"b1603"	"b160"	"Funktioner för tankekontroll"	"Tankekontroll"	"Psykiska funktioner som ger viljemässig tankekontroll och som betraktas som sådan av personen"	""	""	"funktionsnedsättningar vilka yttrar sig som grubbleri, tvångsföreställning, tankespridning och tanketillägg"	""
"b1608"	"b160"	"Andra specificerade tankefunktioner"	""	""	""	""	""	""
"b1609"	"b160"	"Ospecificerade tankefunktioner"	""	""	""	""	""	""
"b164"	"b140-b189"	"Högre kognitiva funktioner"	""	"Specifika psykiska funktioner särskilt relaterade till frontalloberna, inklusive komplext målinriktat beteende såsom beslutsfattande, abstrakt tänkande, planering och utförande av planer, mental flexibilitet och att fatta beslut om vilket beteende som är påkallat under vilka omständigheter, ofta benämnda exekutiva funktioner"	"funktioner att göra abstraktioner och organisera tankar; tidsplanering, insikt och omdöme; begreppsbildning, kategorisering och kognitiv flexibilitet"	"minnesfunktioner (b144); tankefunktioner (b160); psykiska språkfunktioner (b167); kalkyleringsfunktioner (b172)"	""	""
"b1640"	"b164"	"Abstraktion"	""	"Psykiska funktioner för att skapa allmänna idéer, kvaliteter eller karakteristika med utgångspunkt i, men skiljt från konkreta realiteter, specifika föremål eller verkliga exempel"	""	""	""	""
"b1641"	"b164"	"Organisering och planering"	""	"Psykiska funktioner för att samordna delar till en helhet, att systematisera; psykisk funktion som är involverad i att utveckla en metod för hur man ska gå tillväga eller handla"	""	""	""	""
"b1642"	"b164"	"Tidsplanering"	""	"Psykiska funktioner för att ordna händelser i kronologisk ordning, fördela tidsåtgång till händelser och aktiviteter"	""	""	""	""
"b1643"	"b164"	"Kognitiv flexibilitet"	""	"Psykiska funktioner för att ändra strategier, skifta infallsvinkel, särskilt vid involvering i problemlösning"	""	""	""	""
"b1644"	"b164"	"Förståelse"	""	"Psykiska funktioner av medvetenhet och förståelse av sig själv och det egna beteendet"	""	""	""	""
"b1645"	"b164"	"Omdöme"	""	"Psykiska funktioner som är involverade i att göra val när man ställs inför alternativ, t.ex. sådana som innefattas i att fatta beslut eller att bilda sig en åsikt"	""	""	""	""
"b1646"	"b164"	"Problemlösning"	""	"Psykiska funktioner för att identifiera, analysera och integrera oförenlig eller motstridig information fram till en lösning"	""	""	""	""
"b1648"	"b164"	"Andra specificerade högre kognitiva funktioner"	""	""	""	""	""	""
"b1649"	"b164"	"Ospecificerade högre kognitiva funktioner"	""	""	""	""	""	""
"b167"	"b140-b189"	"Psykiska språkfunktioner"	""	"Specifika psykiska funktioner för att känna igen och använda tecken, symboler och andra språkkomponenter"	"funktioner för mottagning och avkodning av talat, skrivet eller andra former av språk såsom teckenspråk; funktioner att uttrycka talat, skrivet eller andra språkformer; integrerande språkfunktioner, talade och skrivna"	"uppmärksamhetsfunktioner (b140); minnesfunktioner (b144); perceptionsfunktioner (b156); tankefunktioner (b160); högre kognitiva funktioner (b164); kalkyleringsfunktioner (b172); psykisk funktion att ordna sammansatta rörelser i följd (b176); Kapitel 2: Sinnesfunktioner och smärta; Kapitel 3: Röst- och talfunktioner"	"funktionsnedsättningar som vid receptiv afasi, expressiv afasi, Brocas- och Wernickes afasi samt konduktionsafasi"	""
"b1670"	"b167"	"Funktioner för mottagning av språk"	"Mottagning av språk"	"Specifika psykiska funktioner för att tolka budskap i talad, skriven, tecknad eller annan form för att erhålla deras innebörd"	""	""	""	""
"b16700"	"b1670"	"Funktioner för mottagning av talat språk"	"Mottagning av talat språk"	"Psykiska funktioner för att tolka talade meddelanden för att förstå deras innebörd"	""	""	""	""
"b16701"	"b1670"	"Funktioner för mottagning av skrivet språk"	"Mottagning av skrivet språk"	"Psykiska funktioner för att tolka skrivna meddelanden för att förstå deras innebörd"	""	""	""	""
"b16702"	"b1670"	"Funktioner för mottagning av tecknat språk"	"Mottagning av tecknat språk"	"Psykiska funktioner för att tolka meddelanden på språk som använder tecken, gjorda med händer eller andra rörelser, för att förstå deras innebörd"	""	""	""	""
"b16703"	"b1670"	"Funktioner för mottagning av kroppsspråk"	"Mottagning av kroppsspråk"	"Psykiska funktioner för att tolka meddelanden som är uttryckta med kroppsspråk, gjorda med händer och andra rörelser, för att förstå deras innebörd"	""	""	""	""
"b16708"	"b1670"	"Funktioner för mottagning av språk, andra specificerade"	""	""	""	""	""	""
"b16709"	"b1670"	"Funktioner för mottagning av språk, ospecificerade"	""	""	""	""	""	""
"b1671"	"b167"	"Funktioner för uttryckande av språk"	"Uttryckande av språk"	"Specifika psykiska funktioner som är nödvändiga för att framställa meningsfulla budskap i talad, skriven, tecknad eller annan form"	""	""	""	""
"b16710"	"b1671"	"Funktioner för uttryckande av talat språk"	"Uttryckande av talat språk"	"Psykiska funktioner som är nödvändiga för att framställa meningsfulla talade meddelanden"	""	""	""	""
"b16711"	"b1671"	"Funktioner för uttryckande av skrivet språk"	"Uttryckande av skrivet språk"	"Psykiska funktioner som är nödvändiga för att framställa meningsfulla skrivna meddelanden"	""	""	""	""
"b16712"	"b1671"	"Funktioner för uttryckande av tecknat språk"	"Uttryckande av tecknat språk"	"Psykiska funktioner som är nödvändiga för att framställa meningsfulla budskap på språk som använder tecken gjorda med händerna och andra rörelser"	""	""	""	""
"b16713"	"b1671"	"Funktioner för uttryckande av kroppsspråk"	"Uttryckande av kroppsspråk"	"Psykiska funktioner som är nödvändiga för att framställa meddelanden med kroppsspråk, gjorda med händerna och andra rörelser"	""	""	""	""
"b16718"	"b1671"	"Funktioner för uttryckande av språk, andra specificerade"	""	""	""	""	""	""
"b16719"	"b1671"	"Funktioner för uttryckande av språk, ospecificerade"	""	""	""	""	""	""
"b1672"	"b167"	"Integrerande språkfunktioner"	""	"Psykiska funktioner som organiserar semantisk och symbolisk mening, grammatikalisk struktur och idéer, för att framställa budskap i talad, skriven eller annan form"	""	""	""	""
"b1678"	"b167"	"Andra specificerade psykiska språkfunktioner"	""	""	""	""	""	""
"b1679"	"b167"	"Ospecificerade psykiska språkfunktioner"	""	""	""	""	""	""
"b172"	"b140-b189"	"Kalkyleringsfunktioner"	"Kalkylering"	"Specifika psykiska funktioner för att bestämma, approximera och hantera matematiska symboler och processer"	"funktioner för att addera, subtrahera och andra enkla matematiska kalkyler; komplexa matematiska beräkningsfunktioner"	"uppmärksamhetsfunktioner (b140); minnesfunktioner (b144); tankefunktioner (b160); högre kognitiva funktioner (b164); psykiska språkfunktioner (b167)"	""	""
"b1720"	"b172"	"Funktioner för enkel aritmetisk kalkylering"	"Enkel aritmetisk kalkylering"	"Psykiska funktioner för att räkna med siffror som t.ex. addition, subtraktion, multiplikation och division"	""	""	""	""
