"Kod"	"Överordnad kod"	"Titel"	"Beskrivning"	"Innefattar"	"Utesluter"	"Relaterad ICF-kod"
"SB2.RB.ZZ"	"SB2"	"Praktiskt stöd i grundläggande lärande"	"Aktivitet att praktiskt stödja eller guida individen i att härma, repetera, lära sig läsa, skriva, räkna och beräkna och förvärva färdigheter"	"praktiskt stöd i att ta reda på information (SBH.RB.ZZ), förvärva färdigheter (SBQ.RB.ZZ)"	""	"d130-d159"
"SB2.RC.ZZ"	"SB2"	"Emotionellt stöd i grundläggande lärande"	"Aktivitet att känslomässigt stödja eller motivera individen i att härma, repetera, lära sig läsa, skriva, räkna och beräkna och förvärva färdigheter"	"emotionellt stöd i att ta reda på information (SBH.RC.ZZ), förvärva färdigheter (SBQ.RC.ZZ)"	""	"d130-d159"
"SB2.SZ.ZZ"	"SB2"	"Stöd i grundläggande lärande"	"Ospecificerad individstödjande aktivitet för i att härma, repetera, lära sig läsa, skriva, räkna och beräkna och förvärva färdigheter"	"stöd i att ta reda på information (SBH.SZ.ZZ), förvärva färdigheter (SBQ.SZ.ZZ)"	""	"d130-d159"
"SBH"	"SA-SC"	"Att ta reda på information"	"Att ta reda på fakta om personer, föremål och händelser (såsom att fråga varför, vad, var och hur, att fråga efter namn)"	""	""	"d134"
"SBH.AA.ZZ"	"SBH"	"Bedömning av att ta reda på information"	"Bedömning av förmågan – att ta reda på fakta om personer, föremål och händelser – samt bedömning av behov av insatser, grundat på insamlad information"	""	""	"d134"
"SBH.AM.ZZ"	"SBH"	"Observation av att ta reda på information"	"Iakttagelser för att utreda eller följa upp förmågan att ta reda på fakta om personer, föremål och händelser"	""	""	"d134"
"SBH.AS.ZZ"	"SBH"	"Utredande samtal om att ta reda på information"	"Samtal som görs för att utreda förmågan att ta reda på fakta om personer, föremål och händelser"	""	""	"d134"
"SBH.AT.ZZ"	"SBH"	"Inhämtning av uppgifter, från professionell, om att ta reda på information"	"Aktivitet att inhämta relevanta uppgifter, från professionell aktör, om förmågan att ta reda på fakta om personer, föremål och händelser"	""	""	"d134"
"SBH.AU.ZZ"	"SBH"	"Inhämtning av uppgifter, från annan, om att ta reda på information"	"Aktivitet att inhämta relevanta uppgifter, från annan (t.ex. närstående), om förmågan att ta reda på fakta om personer, föremål och händelser"	""	""	"d134"
"SBH.AV.ZZ"	"SBH"	"Uppföljande samtal om att ta reda på information"	"Samtal som görs för att följa upp förmågan – att ta reda på fakta om personer, föremål och händelser – i relation till mål och måluppfyllelse"	""	""	"d134"
"SBH.PH.ZZ"	"SBH"	"Färdighetsträning i att ta reda på information"	"Aktivitet att lära, förbättra eller utveckla färdigheter – i att ta reda på fakta om personer, föremål och händelser – genom praktiska övningar i relevant miljö"	""	""	"d134"
"SBH.PN.ZZ"	"SBH"	"Råd eller information om att ta reda på information"	"Aktivitet att ge råd eller information för att uppmuntra en förändring av eller bibehållande av förmågan att ta reda på fakta om personer, föremål och händelser – i relation till hälsa (eller risker)"	""	""	"d134"
"SBH.RB.ZZ"	"SBH"	"Praktiskt stöd i att ta reda på information"	"Aktivitet att praktiskt stödja eller guida individen i att ta reda på fakta om personer, föremål och händelser"	""	""	"d134"
"SBH.RC.ZZ"	"SBH"	"Emotionellt stöd i att ta reda på information"	"Aktivitet att känslomässigt stödja eller motivera individen i att ta reda på fakta om personer, föremål och händelser"	""	""	"d134"
"SBH.SZ.ZZ"	"SBH"	"Stöd i att ta reda på information"	"Ospecificerad individstödjande aktivitet i att ta reda på fakta om personer, föremål och händelser"	""	""	"d134"
"SBQ"	"SA-SC"	"Att förvärva färdigheter"	"Att utveckla grundläggande och sammansatta förmågor att integrera handlingar eller uppgifter som att initiera och fullfölja förvärvandet av en färdighet"	""	""	"d155"
"SBQ.AA.ZZ"	"SBQ"	"Bedömning av att förvärva färdigheter"	"Bedömning av förmågan – att utveckla grundläggande och sammansatta förmågor av att integrera handlingar eller uppgifter som att initiera och fullfölja förvärvandet av en färdighet – samt bedömning av behov av insatser, grundat på insamlad information"	""	""	"d155"
"SBQ.AM.ZZ"	"SBQ"	"Observation av att förvärva färdigheter"	"Iakttagelser för att utreda eller följa upp förmågan att utveckla grundläggande och sammansatta förmågor av att integrera handlingar eller uppgifter som att initiera och fullfölja förvärvandet av en färdighet"	""	""	"d155"
"SBQ.AS.ZZ"	"SBQ"	"Utredande samtal om att förvärva färdigheter"	"Samtal som görs för att utreda förmågan att utveckla grundläggande och sammansatta förmågor att integrera handlingar eller uppgifter som att initiera och fullfölja förvärvandet av en färdighet"	""	""	"d155"
"SBQ.AT.ZZ"	"SBQ"	"Inhämtning av uppgifter, från professionell, om att förvärva färdigheter"	"Aktivitet att inhämta relevanta uppgifter, från professionell aktör, om förmågan att utveckla grundläggande och sammansatta förmågor att integrera handlingar eller uppgifter som att initiera och fullfölja förvärvandet av en färdighet"	""	""	"d155"
"SBQ.AU.ZZ"	"SBQ"	"Inhämtning av uppgifter, från annan, om att förvärva färdigheter"	"Aktivitet att inhämta relevanta uppgifter, från annan (t.ex. närstående), om förmågan att utveckla grundläggande och sammansatta förmågor att integrera handlingar eller uppgifter som att initiera och fullfölja förvärvandet av en färdighet"	""	""	"d155"
"SBQ.AV.ZZ"	"SBQ"	"Uppföljande samtal om att förvärva färdigheter"	"Samtal som görs för att följa upp förmågan – att utveckla grundläggande och sammansatta förmågor att integrera handlingar eller uppgifter som att initiera och fullfölja förvärvandet av en färdighet – i relation till mål och måluppfyllelse"	""	""	"d155"
"SBQ.PH.ZZ"	"SBQ"	"Färdighetsträning i att förvärva färdigheter"	"Aktivitet att lära, förbättra eller utveckla färdigheter – i att utveckla grundläggande och sammansatta förmågor av att integrera handlingar eller uppgifter som att initiera och fullfölja förvärvandet av en färdighet – genom praktiska övningar i relevant miljö"	""	""	"d155"
"SBQ.PN.ZZ"	"SBQ"	"Råd eller information om att förvärva färdigheter"	"Aktivitet att ge råd eller information för att uppmuntra en förändring av eller bibehållande av förmågan att utveckla grundläggande och sammansatta förmågor av integrera handlingar eller uppgifter som att initiera och fullfölja förvärvandet av en färdighet – i relation till hälsa (eller risker)"	""	""	"d155"
"SBQ.PU.ZZ"	"SBQ"	"Stödjande samtal om att förvärva färdigheter"	"Teori- och metodbaserat samtal för att hitta strategier för att lösa eller lindra problem och svårigheter som uppstår genom det dagliga livets krav och individens förmåga att utveckla grundläggande och sammansatta förmågor av att integrera handlingar eller uppgifter som att initiera och fullfölja förvärvandet av en färdighet"	""	""	"d155"
"SBQ.RB.ZZ"	"SBQ"	"Praktiskt stöd i att förvärva färdigheter"	"Aktivitet att praktiskt stödja eller guida individen i att utveckla grundläggande och sammansatta förmågor av att integrera handlingar eller uppgifter som att initiera och fullfölja förvärvandet av en färdighet"	""	""	"d155"
"SBQ.RC.ZZ"	"SBQ"	"Emotionellt stöd i att förvärva färdigheter"	"Aktivitet att känslomässigt stödja eller motivera individen i att utveckla grundläggande och sammansatta förmågor av att integrera handlingar eller uppgifter som att initiera och fullfölja förvärvandet av en färdighet"	""	""	"d155"
"SBQ.SZ.ZZ"	"SBQ"	"Stöd i att förvärva färdigheter"	"Ospecificerad individstödjande aktivitet i att utveckla grundläggande och sammansatta förmågor av att integrera handlingar eller uppgifter som att initiera och fullfölja förvärvandet av en färdighet"	""	""	"d155"
"SC2"	"SA-SC"	"Att tillämpa kunskap"	"Att avsiktligt fokusera uppmärksamhet, reflektera, läsa, skriva, räkna och beräkna, lösa problem och fatta beslut"	""	""	"d160-d179"
"SC2.AA.ZZ"	"SC2"	"Bedömning av att tillämpa kunskap"	"Bedömning av förmågan – att avsiktligt fokusera uppmärksamhet, reflektera, läsa, skriva, räkna och beräkna, lösa problem och fatta beslut – samt bedömning av behov av insatser, grundat på insamlad information"	"bedömning av att fokusera uppmärksamhet (SCA.AA.ZZ); lösa problem (SCJ.AA.ZZ); fatta beslut (SCL.AA.ZZ)"	""	"d160-d179"
"SC2.AM.ZZ"	"SC2"	"Observation av att tillämpa kunskap"	"Iakttagelser för att utreda eller följa upp förmågan att avsiktligt fokusera uppmärksamhet, reflektera, läsa, skriva, räkna och beräkna, lösa problem och fatta beslut"	"observation av att fokusera uppmärksamhet (SCA.AM.ZZ); lösa problem (SCJ.AM.ZZ); fatta beslut (SCL.AM.ZZ)"	""	"d160-d179"
"SC2.AS.ZZ"	"SC2"	"Utredande samtal om att tillämpa kunskap"	"Samtal som görs för att utreda förmågan att avsiktligt fokusera uppmärksamhet, reflektera, läsa, skriva, räkna och beräkna, lösa problem och fatta beslut"	"utredande samtal om att fokusera uppmärksamhet (SCA.AS.ZZ); lösa problem (SCJ.AS.ZZ); fatta beslut (SCL.AS.ZZ)"	""	"d160-d179"
"SC2.AT.ZZ"	"SC2"	"Inhämtning av uppgifter, från professionell, om att tillämpa kunskap"	"Aktivitet att inhämta relevanta uppgifter, från professionell aktör, om förmågan att avsiktligt fokusera uppmärksamhet, reflektera, läsa, skriva, räkna och beräkna, lösa problem och fatta beslut"	"inhämtning av uppgifter, från professionell, om att fokusera uppmärksamhet (SCA.AT.ZZ); lösa problem (SCJ.AT.ZZ); fatta beslut (SCL.AT.ZZ)"	""	"d160-d179"
"SC2.AU.ZZ"	"SC2"	"Inhämtning av uppgifter, från annan, om att tillämpa kunskap"	"Aktivitet att inhämta relevanta uppgifter, från annan (t.ex. närstående), om förmågan att avsiktligt fokusera uppmärksamhet, reflektera, läsa, skriva, räkna och beräkna, lösa problem och fatta beslut"	"inhämtning av uppgifter, från annan, om att fokusera uppmärksamhet (SCA.AU.ZZ); lösa problem (SCJ.AU.ZZ); fatta beslut (SCL.AU.ZZ)"	""	"d160-d179"
"SC2.AV.ZZ"	"SC2"	"Uppföljande samtal om att tillämpa kunskap"	"Samtal som görs för att följa upp förmågan – att avsiktligt fokusera uppmärksamhet, reflektera, läsa, skriva, räkna och beräkna, lösa problem och fatta beslut – i relation till mål och måluppfyllelse"	"uppföljande samtal om att fokusera uppmärksamhet (SCA.AV.ZZ); lösa problem (SCJ.AV.ZZ); fatta beslut (SCL.AV.ZZ)"	""	"d160-d179"
"SC2.PH.ZZ"	"SC2"	"Färdighetsträning i att tillämpa kunskap"	"Aktivitet att lära, förbättra eller utveckla färdigheter – i att avsiktligt fokusera uppmärksamhet, reflektera, läsa, skriva, räkna och beräkna, lösa problem och fatta beslut – genom praktiska övningar i relevant miljö"	"färdighetsträning i att fokusera uppmärksamheten (SCA.PH.ZZ); lösa problem (SCJ.PH.ZZ); fatta beslut (SCL.PH.ZZ)"	""	"d160-d179"
"SC2.PN.ZZ"	"SC2"	"Råd eller information om att tillämpa kunskap"	"Aktivitet att ge råd eller information för att uppmuntra en förändring av eller bibehållande av förmågan att avsiktligt fokusera uppmärksamhet, reflektera, läsa, skriva, räkna och beräkna, lösa problem och fatta beslut – i relation till hälsa (eller risker)"	"råd eller information om att fokusera uppmärksamheten (SCA.PN.ZZ); fatta beslut (SCL.PN.ZZ)"	""	"d160-d179"
"SC2.PU.ZZ"	"SC2"	"Stödjande samtal om att tillämpa kunskap"	"Teori- och metodbaserat samtal för att hitta strategier för att lösa eller lindra problem och svårigheter som uppstår genom det dagliga livets krav och individens förmåga att avsiktligt fokusera uppmärksamhet, reflektera, läsa, skriva, räkna och beräkna, lösa problem och fatta beslut"	"stödjande samtal om att fokusera uppmärksamheten (SCA.PU.ZZ); lösa problem (SCJ.PU.ZZ); fatta beslut (SCL.PU.ZZ)"	""	"d160-d179"
"SC2.PV.ZZ"	"SC2"	"Behandlande samtal om att tillämpa kunskap"	"Teori- och metodbaserad terapeutisk kommunikation (som inbegriper samtal, förståelse av information och annat kunskapsutbyte) i syfte att förändra eller öka förståelsen för individens egen situation för att åstadkomma en förändring av förmågan att avsiktligt fokusera uppmärksamhet, reflektera, läsa, skriva, räkna och beräkna, lösa problem och fatta beslut"	"behandlande samtal om att fokusera uppmärksamheten (SCA.PV.ZZ); lösa problem (SCJ.PV.ZZ); fatta beslut (SCL.PV.ZZ)"	""	"d160-d179"
"SC2.RB.ZZ"	"SC2"	"Praktiskt stöd i att tillämpa kunskap"	"Aktivitet att praktiskt stödja eller guida individen i att avsiktligt fokusera uppmärksamhet, reflektera, läsa, skriva, räkna och beräkna, lösa problem och fatta beslut"	"praktiskt stöd i att fokusera uppmärksamheten (SCA.RB.ZZ); lösa problem (SCJ.RB.ZZ); fatta beslut (SCL.RB.ZZ)"	""	"d160-d179"
"SC2.RC.ZZ"	"SC2"	"Emotionellt stöd i att tillämpa kunskap"	"Aktivitet att känslomässigt stödja eller motivera individen i att avsiktligt fokusera uppmärksamhet, reflektera, läsa, skriva, räkna och beräkna, lösa problem och fatta beslut"	"emotionellt stöd i att fokusera uppmärksamheten (SCA.RC.ZZ); lösa problem (SCJ.RC.ZZ); fatta beslut (SCL.RC.ZZ)"	""	"d160-d179"
"SC2.SZ.ZZ"	"SC2"	"Stöd i att tillämpa kunskap"	"Ospecificerad individstödjande aktivitet i att avsiktligt fokusera uppmärksamhet, reflektera, läsa, skriva, räkna och beräkna, lösa problem och fatta beslut"	"stöd i att fokusera uppmärksamheten (SCA.SZ.ZZ); lösa problem (SCJ.SZ.ZZ); fatta beslut (SCL.SZ.ZZ)"	""	"d160-d179"
"SCA"	"SA-SC"	"Att fokusera uppmärksamhet"	"Att avsiktligt fokusera på specifika stimuli (t.ex. genom att filtrera bort störande ljud)"	""	""	"d160"
"SCA.AA.ZZ"	"SCA"	"Bedömning av att fokusera uppmärksamhet"	"Bedömning av förmågan – att avsiktligt fokusera på specifika stimuli – samt bedömning av behov av insatser, grundat på insamlad information"	""	""	"d160"
"SCA.AM.ZZ"	"SCA"	"Observation av att fokusera uppmärksamhet"	"Iakttagelser för att utreda eller följa upp förmågan att avsiktligt fokusera på specifika stimuli"	""	""	"d160"
"SCA.AS.ZZ"	"SCA"	"Utredande samtal om att fokusera uppmärksamhet"	"Samtal som görs för att utreda förmågan att avsiktligt fokusera på specifika stimuli"	""	""	"d160"
"SCA.AT.ZZ"	"SCA"	"Inhämtning av uppgifter, från professionell, om att fokusera uppmärksamhet"	"Aktivitet att inhämta relevanta uppgifter, från professionell aktör, om förmågan att avsiktligt fokusera på specifika stimuli"	""	""	"d160"
"SCA.AU.ZZ"	"SCA"	"Inhämtning av uppgifter, från annan, om att fokusera uppmärksamhet"	"Aktivitet att inhämta relevanta uppgifter, från annan (t.ex. närstående), om förmågan att avsiktligt fokusera på specifika stimuli"	""	""	"d160"
"SCA.AV.ZZ"	"SCA"	"Uppföljande samtal om att fokusera uppmärksamhet"	"Samtal som görs för att följa upp förmågan – att avsiktligt fokusera på specifika stimuli – i relation till mål och måluppfyllelse"	""	""	"d160"
"SCA.PH.ZZ"	"SCA"	"Färdighetsträning i att fokusera uppmärksamhet"	"Aktivitet att lära, förbättra eller utveckla färdigheter – i att avsiktligt fokusera på specifika stimuli – genom praktiska övningar i relevant miljö"	""	""	"d160"
"SCA.PN.ZZ"	"SCA"	"Råd eller information om att fokusera uppmärksamhet"	"Aktivitet att ge råd eller information för att uppmuntra en förändring av eller bibehållande av förmågan att avsiktligt fokusera på specifika stimuli – i relation till hälsa (eller risker)"	""	""	"d160"
