"Kod"	"Överordnad kod"	"Titel"	"Beskrivning"	"Exempel"	"Innefattar"	"Utesluter"	"Anmärkning"	"Relaterad ICF-kod"	"Relaterad ICD-10-SE-kod"
"AA045"	"AA"	"Magnetresonanstomografi, hjärna"	""	""	""	""	""	""	""
"AA046"	"AA"	"Magnetresonanstomografi, hjärna, diffusion"	""	""	""	""	""	""	""
"AA047"	"AA"	"Magnetresonanstomografi, hjärna, perfusion"	""	""	""	""	""	""	""
"AA048"	"AA"	"Magnetresonanstomografi, hjärna, spektroskopi"	""	""	""	""	""	""	""
"AA049"	"AA"	"Magnetresonanstomografi, sella turcica"	""	""	""	""	""	""	""
"AA050"	"AA"	"Magnetresonanstomografi, skallbas"	""	""	""	""	""	""	""
"AA051"	"AA"	"Magnetresonanstomografi, skalle, sinus och ansiktsskelett"	""	""	""	""	""	""	""
"AA052"	"AA"	"Screeningtest av kognitiva funktioner"	"Till exempel MMT (Mini Mental Test), Rita klocka, Rita kub, AQT (A Quick Test, tidigare Alzheimer Quick Test)"	""	""	""	""	""	""
"AA053"	"AA"	"Myelografi, cervikal"	""	""	""	""	""	""	""
"AA054"	"AA"	"Myelografi, lumbal"	""	""	""	""	""	""	""
"AA055"	"AA"	"Myelografi, lumbotorakal"	""	""	""	""	""	""	""
"AA056"	"AA"	"Myelografi, torakal"	""	""	""	""	""	""	""
"AA057"	"AA"	"Myelografi, total"	""	""	""	""	""	""	""
"AA058"	"AA"	"Neurografi, motorisk och sensorisk"	"Med F-latens"	""	""	""	""	""	""
"AA059"	"AA"	"Neuronavigation"	"Datorbaserad bildgivande teknik eller metod för anatomisk orientering och lokalisering vid neurokirurgiska operationer"	""	""	""	""	""	""
"AA060"	"AA"	"Neuropsykologisk utredning"	"Beroende på i vilken fas av den neuropsykologiska utredningen patienten befinner sig innefattar åtgärden en eller flera av följande komponenter: genomgång av tillgänglig dokumentation, inhämtande av anamnes, neuropsykologisk undersökning, bedömning, återföring till patienten och svar till inremitterande"	""	""	""	""	""	""
"AA062"	"AA"	"Pneumografi, subdural"	""	""	""	""	""	""	""
"AA063"	"AA"	"Positronemissionstomografi (PET), hjärna"	""	""	""	""	""	""	""
"AA064"	"AA"	"Punktion av ventrikel i hjärnan"	""	""	""	""	""	""	""
"AA066"	"AA"	"Röntgenundersökning, ansiktsskelett eller del därav (överkäke, näsben, orbita)"	""	""	""	""	""	""	""
"AA067"	"AA"	"Röntgenundersökning, porus acusticus"	""	""	""	""	""	""	""
"AA068"	"AA"	"Röntgenundersökning, sella turcica"	""	""	""	""	""	""	""
"AA069"	"AA"	"Röntgenundersökning, skalle, neurokranium"	""	""	""	""	""	""	""
"AA070"	"AA"	"Skintigrafi, abscess- och infektionslokalisation i nervsystem"	""	""	""	""	""	""	""
"AA071"	"AA"	"Skintigrafi, cerebralt blodflöde"	""	""	""	"Gammakameraundersökning med frågeställning upphävd intracerebral cirkulation, se AA110"	""	""	""
"AA072"	"AA"	"Skintigrafi, hjärna"	""	""	""	""	""	""	""
"AA073"	"AA"	"Skintigrafi, likvor- och shuntfunktion"	"Inklusive punktion av Rickhamreservoar"	""	""	""	""	""	""
"AA074"	"AA"	"Skintigrafi, likvorcirkulation"	""	""	""	""	""	""	""
"AA075"	"AA"	"Skintigrafi, likvorläckage"	"Inklusive lumbalpunktion och analys av nässekret"	""	""	""	""	""	""
"AA076"	"AA"	"Skintigrafi, tumörlokalisation i nervsystem"	""	""	""	""	""	""	""
"AA077"	"AA"	"Skintigrafi, undersökning av nervsystem utan egen kod"	""	""	""	""	""	""	""
"AA078"	"AA"	"Smärttest UNS"	""	""	""	""	""	""	""
"AA079"	"AA"	"Termotest"	"Testning av sensorisk nervfunktion genom temperaturstimulering"	""	""	""	""	""	""
"AA080"	"AA"	"Transtympanal hjärnstamsaudiometri preoperativt"	""	""	""	""	""	""	""
"AA081"	"AA"	"Tryckmätning, intracerebralt"	""	""	""	""	""	""	""
"AA082"	"AA"	"Tryckmätning, intraspinalt"	""	""	""	""	""	""	""
"AA083"	"AA"	"Ultraljudsundersökning, hjärna"	""	""	""	""	""	""	""
"AA084"	"AA"	"Ultraljudsundersökning, hjärnans ventrikelsystem"	""	""	""	""	""	""	""
"AA085"	"AA"	"Undersökning med psykologiska och psykometriska instrument"	"Bedömning av bl.a. individens uppträdande, kommunikationsförmåga, kognitioner och kognitiva resursprofil grundad på undersökning med hjälp av vedertagen skattningsskala, strukturerad intervju, test eller motsvarande. T.ex. WAIS, WISC, WCST"	""	""	""	""	""	""
"AA086"	"AA"	"Ventrikulografi"	""	""	""	""	""	""	""
"AA087"	"AA"	"Vibrametri"	"Bestämning av vibrationsperceptionströsklar"	""	""	""	""	""	""
"AA089"	"AA"	"Video-intensiv EEG-övervakning med enbart extrakraniella elektroder"	""	""	""	""	""	""	""
"AA090"	"AA"	"Video-intensiv EEG-övervakning med intrakraniella elektroder"	""	""	""	""	""	""	""
"AA091"	"AA"	"Videofrenzelundersökning"	""	""	""	""	""	""	""
"AA092"	"AA"	"Visual evoked potential (VEP)"	""	""	""	""	""	""	""
"AA093"	"AA"	"Multipel sömnlatenstest (MSLT)"	"Polygrafisk registrering omfattande EEG, munbotten-EMG, ögonrörelser, EKG och andningsrörelser. Patienten får under 4 - 5 tillfällen somna, varje registrering pågår i cirka 20 minuter. Total undersökningstid cirka 8 timmar"	""	""	""	""	""	""
"AA094"	"AA"	"Polysomnografi"	"Kontinuerlig långtidsregistrering av andning, puls, syrsättning, ventilation och ögonrörelser. Jämför även AV101 Sömnapnéutredning III"	""	""	""	""	""	""
"AA095"	"AA"	"Funktionell stimulering vid video-EEG-monitorering med intrakraniella elektroder"	""	""	""	""	""	""	""
"AA096"	"AA"	"Kateterisering av sinus petrosus med selektiv blodprovstagning"	""	""	""	""	""	""	""
"AA097"	"AA"	"Transkraniell dopplerundersökning"	"Ultraljudsundersökning med Doppler av intracerebrala kärl, inkluderande bildgivande teknik (TCCD, TCDI) och multi-gate-teknik för embolidetektion"	""	""	""	""	""	""
"AA098"	"AA"	"Receptorscintigrafi (DaTscan)"	"DaTscan är ett radiodiagnostiskt läkemedel som innehåller den aktiva substansen ([123I]-ioflupan) avsett för diagnostiskt bruk. Substansen används som ett radiodiagnostiskt läkemedel vid undersökning med SPECT (single photon emission computed tomography)"	""	""	""	""	""	""
"AA100"	"AA"	"Farmakologiskt smärttest, lokalt"	"Använt läkemedel anges med ATC-kod"	""	""	""	""	""	""
"AA101"	"AA"	"Farmakologiskt smärttest, intravenöst"	"Använt läkemedel anges med ATC-kod"	""	""	""	""	""	""
"AA102"	"AA"	"Farmakologiskt smärttest, epiduralt"	"Använt läkemedel anges med ATC-kod"	""	""	""	""	""	""
"AA103"	"AA"	"Farmakologiskt smärttest, intratekalt"	"Använt läkemedel anges med ATC-kod"	""	""	""	""	""	""
"AA104"	"AA"	"Objektiv auditiv mätning (ASSR)"	""	""	""	""	""	""	""
"AA110"	"AA"	"Gammakameraundersökning med frågeställning upphävd intracerebral cirkulation"	""	""	""	""	""	""	""
"AA200"	"AA"	"Algologisk känselundersökning, kvalitativ"	"Algologisk bedömning innefattande somatosensorisk analys med bedside-teknik avseende en eller flera sensoriska modaliteter, såsom beröring, kyla, värme och smärta med nålstick"	""	""	""	""	""	""
"AA210"	"AA"	"Algologisk känselundersökning, kvantitativ (QST)"	"Innefattar smärt- och beröringströsklar med von Frey-hår och termotest"	""	""	""	""	""	""
"AA220"	"AA"	"Algologisk smärtbedömning, enkel"	"Bedömning riktad mot känt smärttillstånd"	""	""	""	""	""	""
"AA221"	"AA"	"Algologisk smärtbedömning, komplicerad"	"Bedömning innefattande analys avseende somatiska, psykologiska, sociala och beteenderelaterade faktorer"	""	""	""	""	""	""
"AA230"	"AA"	"Strukturerad smärtanamnes"	"Innefattar användande av frågeformulär avseende psykofysiska data, smärtskattning, funktions- och beteendeanalys samt smärtteckning"	""	""	""	""	""	""
"AB"	"A"	"Endokrina organ"	""	""	""	""	""	""	""
"AB001"	"AB"	"Datortomografi, tyreoidea och paratyreoidea"	""	""	""	""	""	""	""
"AB003"	"AB"	"Endokrint test, ACTH-analog, kort"	"Vid misstanke om binjurebarks- eller hypofysinsufficiens eller adrenogenitalt syndrom (AGS). Standardtest om cirka ½ - 1 timma"	""	""	""	""	""	""
"AB004"	"AB"	"Endokrint test, ACTH-analog, lång"	"Vid misstanke om binjurebarks- eller hypofysinsufficiens. Test under flera dagar"	""	""	""	""	""	""
"AB005"	"AB"	"Endokrint test, ACTH-analog, medellång"	"Vid misstanke om binjurebarks- eller hypofysinsufficiens. Test om cirka 5 timmar"	""	""	""	""	""	""
"AB006"	"AB"	"Endokrint test, ammoniumklorid"	"Diagnostik av renal tubulär acidos"	""	""	""	""	""	""
"AB007"	"AB"	"Endokrint test, arginin"	"Används vid misstanke om GH (Growth Hormone, tillväxthormon)-brist och då som alternativ till insulintest"	""	""	""	""	""	""
"AB008"	"AB"	"Kortikosteroidtest vid hyperkalcemi"	"Vid oklar hyperkalcemi där man misstänker bakomliggande sarkoidos. Patienten tar prednisolon i 1-2 veckor och S-Ca följes"	""	""	""	""	""	""
"AB009"	"AB"	"Endokrint test, CRH"	"Testet används för att dels värdera ACTH reserven vid misstanke om hypofysinsufficiens och dels för att utreda Cushings syndrom"	""	""	""	""	""	""
"AB010"	"AB"	"Endokrint test, dexametason"	"Används för att utreda graden av hämningsbarhet hos hypotalamus-hypofyssystemet vid misstanke om framför allt Cushings syndrom. Dexametasom ges i olika doser och under olika lång tid. S-kortisol följes"	""	""	""	""	""	""
"AB011"	"AB"	"Endokrint test, fasteprov"	"Vid hypoglykemiutredning. Patienten fastar fram till dess hypoglykemi uppträder eller maximalt 3 dygn (vuxenendokrinologi). Omfattande provtagning (bland annat C-Peptid och S-Insulin) när hypoglykemi inträffar"	""	""	""	""	""	""
"AB012"	"AB"	"Endokrint test, GHRH"	"På misstanke om GH-brist som alternativ till insulintest. S-GHRH ges intravenöst och S-GH följes. Förbehandling kan ges med pyridostigmin för att öka svaret"	""	""	""	""	""	""
"AB013"	"AB"	"Endokrint test, glukagon"	"Test för att avslöja brist på GH och/eller ACTH"	""	""	""	""	""	""
"AB014"	"AB"	"Endokrint test, glukos, (akromegali)"	"Standardtest för att bekräfta akromegali. Testet tar normalt cirka 2 timmar"	""	""	""	""	""	""
"AB015"	"AB"	"Endokrint test, glukos, (postprandiell hypoglykemi)"	"För att bedöma förekomst av postprandial hypoglykemi. Testet tar normalt 3 - 5 timmar"	""	""	""	""	""	""
"AB016"	"AB"	"Endokrint test, GnRH (LHRH)"	"Vid misstanke om hypofysär eller hypotalamisk hypogonadism"	""	""	""	""	""	""
"AB017"	"AB"	"Endokrint test, insulin"	"Standardtest för att bedöma GH- och ACTH-brist"	""	""	""	""	""	""
"AB018"	"AB"	"Endokrint test, klonidin"	"Vid utredning på misstanke om feokromocytom"	""	""	""	""	""	""
"AB019"	"AB"	"Endokrint test, L-dopa"	"Alternativt test vid misstanke om GH-brist, samt för att påvisa en patologisk reaktivitet vad gäller prolaktin eller GH"	""	""	""	""	""	""
"AB020"	"AB"	"Endokrint test, magnesium"	"Vid misstanke om magnesiumbrist. U-Mg samlas dygnet före testen, under testen samt dagen efter. Testdagen tillförs Mg-sulfat intravenöst"	""	""	""	""	""	""
"AB021"	"AB"	"Endokrint test, multipel endokrin neoplasi I (MEN I), frukost"	"Vid misstanke om endokrin pankreastumör. Efter en natts fasta intas en specialkomponerad måltid under 20 minuter. Prov tages under 60 minuter för P-pankreatisk polypeptid samt S-Gastrin"	""	""	""	""	""	""
"AB022"	"AB"	"Endokrint test, metyrapon (metopiron)"	"Test som används för att fastställa sekundär (central) ACTH-brist. Flera varianter finns"	""	""	""	""	""	""
"AB023"	"AB"	"Endokrint test, natriumklorid"	"Används i differentialdiagnostiken av primär hyperaldosteronism. Dygnet innan tas basala prover vad gäller renin, S+U- aldosteron, kortisol. Testdygnet startas infusion av natriumklorid. Under testet tas S-aldosteron och P-renin"	""	""	""	""	""	""
"AB024"	"AB"	"Endokrint test, pentagastrin, (medullär tyreoideacancer)"	"Test för att påvisa medullär tyreoideacancer. Pentagastrin tillförs och calcitonin tas före och efter injektion"	""	""	""	""	""	""
"AB025"	"AB"	"Endokrint test, pentagastrin, (carcinoid)"	"Test för att påvisa carcinoid. Pentagastrin tillförs och takykininer tas före och efter injektion"	""	""	""	""	""	""
"AB026"	"AB"	"Endokrint test, PRA eller aldosteron"	"Vid misstanke om hyperaldosteronism. Gå- och ståtest"	""	""	""	""	""	""
"AB027"	"AB"	"Endokrint test, sekretin"	"Vid suspekt gastrinom. Gastrinsvaret på sekretininjektion mäts"	""	""	""	""	""	""
"AB028"	"AB"	"Endokrint test, TRH, kort"	"Vid misstanke om bland annat akromegali eller gonadotropinom. Efter tillförsel av TRH följs TSH och eventuellt andra hypofyshormoner. Testet pågår i 30 - 60 minuter"	""	""	""	""	""	""
"AB029"	"AB"	"Endokrint test, TRH, lång"	"Vid misstanke om central hypotyreos. Endast TSH följs. Pågår 3 timmar"	""	""	""	""	""	""
"AB030"	"AB"	"Endokrint test, törstprov"	"Görs för att utreda polydipsi och polyuri. Durationen varierar från ett par timmar upp till drygt ett dygn"	""	""	""	""	""	""
"AB031"	"AB"	"Glukosbelastning, intravenös"	"Injektion av glukos. Provtagning av glukos och insulin under 1½ timma"	""	""	""	""	""	""
"AB032"	"AB"	"Glukosbelastning, peroral"	""	""	""	""	""	""	""
"AB033"	"AB"	"Glukostoleranstest, intravenös"	"Injektion av glukos och insulin. Multipla prover, glukos och insulin under 3 timmar"	""	""	""	""	""	""
"AB034"	"AB"	"Hormonprofil, GH-profil"	"Vid misstanke om akromegali eller tillväxthormonbrist. Provet görs under del av dygn"	""	""	""	""	""	""
"AB035"	"AB"	"Hormonprofil, GH-dygnsprofil med pump"	"GH följes med upprepade prover med varierande intervall (till exempel var 20 till var 30 minut) för att avslöja avvikelser i dygnsrytmen"	""	""	""	""	""	""
"AB036"	"AB"	"Hormonprofil, GH-dygnsprofil utan pump"	"Vid misstanke om akromegali eller tillväxthormonbrist"	""	""	""	""	""	""
"AB037"	"AB"	"Hormonprofil, kortisol eller ACTH"	"Kortisol eller ACTH följes med upprepade prover med varierande intervall för att avslöja avvikelser i dygnsrytmen"	""	""	""	""	""	""
"AB038"	"AB"	"Hormonprofil, TSH"	"TSH följes med upprepade prover med varierande intervall för att avslöja avvikelser i dygnsrytmen"	""	""	""	""	""	""
"AB039"	"AB"	"Klinisk undersökning av endokrina organ"	""	""	""	""	""	""	""
"AB040"	"AB"	"Sensorbaserad kontinuerlig glukosmätning"	"Sensorbaserad kontinuerlig glukosmätning med realtids- (rtCGM) eller intermittent scanningmätning (isCGM). Avser uppkoppling av mätutrustning, patientinstruktioner inför mätning och/eller vid analys av registrerade sensorglukosdata"	""	""	""	"Åtgärden registreras endast vid det besök då initiering av utrusningen eller analys av sensordata är genomförd"	""	""
"AB041"	"AB"	"Magnetresonanstomografi, binjurar"	""	""	""	""	""	""	""
"AB042"	"AB"	"Magnetresonanstomografi, tyreoidea och paratyreoidea"	""	""	""	""	""	""	""
"AB043"	"AB"	"Skintigrafi, binjurebark"	"Kolesterolskintigrafi, I-131 jod-metyl-nor-kolesterol"	""	""	""	""	""	""
"AB044"	"AB"	"Skintigrafi, binjuremärg"	"MIBG-skintigrafi, I -123 Iobenguan"	""	""	""	""	""	""
"AB045"	"AB"	"Skintigrafi, paratyreoidea"	""	""	""	""	""	""	""
"AB046"	"AB"	"Skintigrafi, somatostatinreceptor"	"Används vid utredning av neuroendokrina tumörer framförallt carcinoid. Det kommersiella namnet för undersökningen är Octreoscan"	""	""	""	""	""	""
"AB047"	"AB"	"Skintigrafi, tyreoidea"	""	""	""	""	""	""	""
"AB048"	"AB"	"Skintigrafi, tyreoidea, upptagsmätning"	""	""	""	""	""	""	""
"AB049"	"AB"	"Ultraljudsundersökning, binjurar"	""	""	""	""	""	""	""
"AB050"	"AB"	"Ultraljudsundersökning, paratyreoidea"	""	""	""	""	""	""	""
"AB051"	"AB"	"Ultraljudsundersökning, tyreoidea"	""	""	""	""	""	""	""
"AB052"	"AB"	"Övriga specificerade endokrina tester"	""	""	""	""	""	""	""
"AB053"	"AB"	"Övriga specificerade hormonprofiler"	""	""	""	""	""	""	""
"AB054"	"AB"	"Datortomografi, binjurar"	""	""	""	""	""	""	""
"AB055"	"AB"	"Radiojodupptagningsmätning"	"Jod tillförs peroralt och aktiviteten mäts vid upprepade tillfällen upp till flera dygn"	""	""	""	""	""	""
"AC"	"A"	"Ögonregionen"	""	""	""	""	""	""	""
"AC001"	"AC"	"Allergenprovokation, konjunktival"	""	""	""	""	""	""	""
"AC002"	"AC"	"Axellängdsmätning ögonglob"	""	""	""	""	""	""	""
"AC003"	"AC"	"Dakryocystografi"	""	""	""	""	""	""	""
"AC004"	"AC"	"Datortomografi, orbita"	""	""	""	""	""	""	""
"AC005"	"AC"	"Elektroretinografi (ERG)"	""	""	""	""	""	""	""
"AC006"	"AC"	"Flebografi av orbita"	""	""	""	""	""	""	""
"AC007"	"AC"	"Fotografering av ögat"	"Exteriör respektive spalt"	""	""	""	""	""	""
"AC008"	"AC"	"Färgsinnestest"	""	""	""	""	""	""	""
"AC009"	"AC"	"Gonioskopi"	""	""	""	""	""	""	""
"AC010"	"AC"	"Hertelmätning"	"Mätning av graden av exoftalmus"	""	""	""	""	""	""
"AC011"	"AC"	"Keratometri"	""	""	""	""	""	""	""
"AC012"	"AC"	"Klinisk undersökning av ögon"	"Kan innefatta yttre inspektion, enklare bedömning av synfält (enligt Donders eller med dubbelkonfrontationsmetoden) och enklare refraktionsbestämning. Se även AC008 Färgsinnestest, AC027 Refraktionering och AC032 Synskärpeundersökning"	""	""	""	""	""	""
"AC013"	"AC"	"Kontrastseendeundersökning"	""	""	""	""	""	""	""
"AC014"	"AC"	"Laserbiomikroskopi av ögon"	""	""	""	""	""	""	""
"AC015"	"AC"	"Lees skärm"	"Test för dubbelseende"	""	""	""	""	""	""
"AC016"	"AC"	"Magnetresonanstomografi, orbita"	""	""	""	""	""	""	""
"AC017"	"AC"	"Mätning av hornhinnetjocklek"	"Pachymetri. Vid glaukom"	""	""	""	""	""	""
"AC018"	"AC"	"Neurooftalmologisk undersökning"	"Undersökning av synfält, pupillreaktioner, motilitet, färgsinne, hornhinnesensibilitet, eventuellt ytterligare undersökning"	""	""	""	""	""	""
"AC019"	"AC"	"Oftalmoskopi, binokulär"	""	""	""	""	""	""	""
"AC020"	"AC"	"Oftalmoskopi, direkt"	""	""	""	""	""	""	""
"AC021"	"AC"	"Oftalmoskopi, indirekt"	""	""	""	""	""	""	""
"AC022"	"AC"	"Mätning av näthinnetjocklek"	"Okulär koherent tomografi (OCT), Heidelberg Retinal Tomography (HRT)"	""	""	""	""	""	""
"AC023"	"AC"	"Omfattande bländningsundersökning"	""	""	""	""	""	""	""
"AC024"	"AC"	"Omfattande kontrastseendeundersökning"	""	""	""	""	""	""	""
"AC025"	"AC"	"Prismautjämning"	"Mätning av skelvinkeln i olika blickriktningar, utprovning av prismor samt tillklippning av prismafolie"	""	""	""	""	""	""
"AC026"	"AC"	"Pupilldilatation"	""	""	""	""	""	""	""
"AC027"	"AC"	"Refraktionering"	"Vid besök hos läkare eller ortoptist innefattade även utprovning och ordination av glas"	""	""	""	""	""	""
"AC028"	"AC"	"Skelningsstatus"	"Endast vid besök hos läkare eller ortoptist"	""	""	""	""	""	""
"AC029"	"AC"	"Skintigrafi, melanomlokalisation i öga (preoperativt)"	""	""	""	""	""	""	""
"AC030"	"AC"	"Skintigrafi, tårkörtel"	""	""	""	""	""	""	""
"AC031"	"AC"	"Synfältsundersökning, manuell"	"Goldmann med flera (ej Donders och liknande test)"	""	""	""	""	""	""
"AC032"	"AC"	"Synskärpeundersökning"	"Innefattar ej refraktionering"	""	""	""	""	""	""
"AC033"	"AC"	"Tryckkurva, ögon"	"Flera ögontryckmätningar görs under en och samma dag"	""	""	""	""	""	""
"AC034"	"AC"	"Tryckmätning, ögon"	""	""	""	""	""	""	""
"AC035"	"AC"	"Ultraljudsundersökning av bulben"	"A och/eller B-scan"	""	""	""	""	""	""
"AC036"	"AC"	"Ultraljudsundersökning av orbita"	"A och/eller B-scan"	""	""	""	""	""	""
"AC037"	"AC"	"Undersökning avseende prematuritetsretinopati (ROP)"	""	""	""	""	""	""	""
"AC038"	"AC"	"Undersökningar vid misstänkt keratokonjunctivitis sicca"	"Schirmers test och/eller break-up-time (BUP) och/eller färgning med Rose-Bengal"	""	""	""	""	""	""
"AC039"	"AC"	"Utvidgat färgsinnestest med anomaloskop"	""	""	""	""	""	""	""
"AC040"	"AC"	"Ögonbiomikroskopi, med kontaktglas"	""	""	""	""	""	""	""
"AC041"	"AC"	"Ögonbiomikroskopi, utan kontaktglas"	""	""	""	""	""	""	""
"AC042"	"AC"	"Elektrookulografi"	""	""	""	""	""	""	""
"AC043"	"AC"	"Glaucoma Diagnostic (GCx)"	"Kartlägger synnervshuvudet"	""	""	""	""	""	""
"AC044"	"AC"	"Ultraljudsbiomikroskopi (UBM)"	"Ultraljudsundersökning av främre segmentet"	""	""	""	""	""	""
"AC045"	"AC"	"Scheimpflug-fotografering"	"Fotografering av linsgrumlingar"	""	""	""	""	""	""
"AC046"	"AC"	"Korneal topografi, undersökning av"	""	""	""	""	""	""	""
"AC047"	"AC"	"Skiaskopi"	""	""	""	""	""	""	""
"AC048"	"AC"	"Autorefraktometri"	""	""	""	""	""	""	""
"AC049"	"AC"	"Binokulärt blickfält, undersökning av"	"Undersökning i Goldmann-perimeter"	""	""	""	""	""	""
"AC050"	"AC"	"Stereoseende, undersökning av"	"Med användande av röd-gröna glas"	""	""	""	""	""	""
"AC051"	"AC"	"ICG-angiografi av ögonbotten"	"Ögonbottenangiografi med färgämnet indocyanine-grön"	""	""	""	""	""	""
"AC052"	"AC"	"Fluorescein-angiografi av ögonbotten"	"Ögonbottenangiografi med färgämnet fluorescein"	""	""	""	""	""	""
"AC060"	"AC"	"Diplopitest"	"Testning av ögonmotilitet i 9 blickriktningar"	""	""	""	""	""	""
"AC065"	"AC"	"Synbedömning utan medverkan"	"Bedömning eller uppskattning av synen hos patient som ej medverkar, t.ex. barn"	""	""	""	""	""	""
"AD"	"A"	"Öron, näsa, hals och struphuvud"	""	""	""	""	""	""	""
"AD001"	"AD"	"Allergenprovokation, nasal"	""	""	""	""	""	""	""
"AD002"	"AD"	"Angiografi av halsorgan"	""	""	""	""	""	""	""
"AD003"	"AD"	"Audiogram med såväl luft- som benledningsmätning"	"Mätning av luft- och benledning vid samtidig maskering av det kontralaterala örat"	""	""	""	""	""	""
"AD004"	"AD"	"Barnaudiologiska test"	"Observationsaudiometri, lekaudiometri och VRA (Visual Reinforced Audiometry), var för sig eller i kombination"	""	""	""	""	""	""
